,product,price,quantity,date,region
0,pink morsel,3.0,546,2018-02-06,north
1,pink morsel,3.0,549,2018-02-06,south
2,pink morsel,3.0,577,2018-02-06,east
3,pink morsel,3.0,519,2018-02-06,west
4,gold morsel,9.99,580,2018-02-06,north
5,gold morsel,9.99,530,2018-02-06,south
6,gold morsel,9.99,576,2018-02-06,east
7,gold morsel,9.99,580,2018-02-06,west
8,magenta morsel,2.5,522,2018-02-06,north
9,magenta morsel,2.5,560,2018-02-06,south
10,magenta morsel,2.5,583,2018-02-06,east
11,magenta morsel,2.5,552,2018-02-06,west
12,chartreuse morsel,3.0,543,2018-02-06,north
13,chartreuse morsel,3.0,574,2018-02-06,south
14,chartreuse morsel,3.0,577,2018-02-06,east
15,chartreuse morsel,3.0,503,2018-02-06,west
16,periwinkle morsel,1.25,530,2018-02-06,north
17,periwinkle morsel,1.25,546,2018-02-06,south
18,periwinkle morsel,1.25,506,2018-02-06,east
19,periwinkle morsel,1.25,559,2018-02-06,west
20,vermilion morsel,4.99,533,2018-02-06,north
21,vermilion morsel,4.99,568,2018-02-06,south
22,vermilion morsel,4.99,556,2018-02-06,east
23,vermilion morsel,4.99,573,2018-02-06,west
24,lapis morsel,1.99,544,2018-02-06,north
25,lapis morsel,1.99,577,2018-02-06,south
26,lapis morsel,1.99,532,2018-02-06,east
27,lapis morsel,1.99,585,2018-02-06,west
28,pink morsel,3.0,529,2018-02-07,north
29,pink morsel,3.0,566,2018-02-07,south
30,pink morsel,3.0,514,2018-02-07,east
31,pink morsel,3.0,545,2018-02-07,west
32,gold morsel,9.99,506,2018-02-07,north
33,gold morsel,9.99,512,2018-02-07,south
34,gold morsel,9.99,524,2018-02-07,east
35,gold morsel,9.99,559,2018-02-07,west
36,magenta morsel,2.5,594,2018-02-07,north
37,magenta morsel,2.5,596,2018-02-07,south
38,magenta morsel,2.5,537,2018-02-07,east
39,magenta morsel,2.5,524,2018-02-07,west
40,chartreuse morsel,3.0,533,2018-02-07,north
41,chartreuse morsel,3.0,547,2018-02-07,south
42,chartreuse morsel,3.0,501,2018-02-07,east
43,chartreuse morsel,3.0,548,2018-02-07,west
44,periwinkle morsel,1.25,573,2018-02-07,north
45,periwinkle morsel,1.25,545,2018-02-07,south
46,periwinkle morsel,1.25,578,2018-02-07,east
47,periwinkle morsel,1.25,504,2018-02-07,west
48,vermilion morsel,4.99,561,2018-02-07,north
49,vermilion morsel,4.99,581,2018-02-07,south
50,vermilion morsel,4.99,550,2018-02-07,east
51,vermilion morsel,4.99,506,2018-02-07,west
52,lapis morsel,1.99,518,2018-02-07,north
53,lapis morsel,1.99,537,2018-02-07,south
54,lapis morsel,1.99,558,2018-02-07,east
55,lapis morsel,1.99,536,2018-02-07,west
56,pink morsel,3.0,534,2018-02-08,north
57,pink morsel,3.0,512,2018-02-08,south
58,pink morsel,3.0,501,2018-02-08,east
59,pink morsel,3.0,567,2018-02-08,west
60,gold morsel,9.99,590,2018-02-08,north
61,gold morsel,9.99,501,2018-02-08,south
62,gold morsel,9.99,515,2018-02-08,east
63,gold morsel,9.99,514,2018-02-08,west
64,magenta morsel,2.5,559,2018-02-08,north
65,magenta morsel,2.5,550,2018-02-08,south
66,magenta morsel,2.5,557,2018-02-08,east
67,magenta morsel,2.5,514,2018-02-08,west
68,chartreuse morsel,3.0,600,2018-02-08,north
69,chartreuse morsel,3.0,542,2018-02-08,south
70,chartreuse morsel,3.0,535,2018-02-08,east
71,chartreuse morsel,3.0,510,2018-02-08,west
72,periwinkle morsel,1.25,504,2018-02-08,north
73,periwinkle morsel,1.25,529,2018-02-08,south
74,periwinkle morsel,1.25,579,2018-02-08,east
75,periwinkle morsel,1.25,511,2018-02-08,west
76,vermilion morsel,4.99,500,2018-02-08,north
77,vermilion morsel,4.99,520,2018-02-08,south
78,vermilion morsel,4.99,537,2018-02-08,east
79,vermilion morsel,4.99,600,2018-02-08,west
80,lapis morsel,1.99,565,2018-02-08,north
81,lapis morsel,1.99,501,2018-02-08,south
82,lapis morsel,1.99,533,2018-02-08,east
83,lapis morsel,1.99,500,2018-02-08,west
84,pink morsel,3.0,586,2018-02-09,north
85,pink morsel,3.0,554,2018-02-09,south
86,pink morsel,3.0,594,2018-02-09,east
87,pink morsel,3.0,505,2018-02-09,west
88,gold morsel,9.99,597,2018-02-09,north
89,gold morsel,9.99,584,2018-02-09,south
90,gold morsel,9.99,553,2018-02-09,east
91,gold morsel,9.99,584,2018-02-09,west
92,magenta morsel,2.5,594,2018-02-09,north
93,magenta morsel,2.5,568,2018-02-09,south
94,magenta morsel,2.5,556,2018-02-09,east
